Präfix;Suffix;SX-ID;ID;Type;Muskelgruppe;Übung;Gerät;Variation;Muscle;Exercise;Device;Variation;GymOrig_ID;GymOrig_Name;GymOrig_Exercise type;GymOrig_BodyPart;GymOrig_Equipment;GymOrig_Gender;GymOrig_Target;GymOrig_Synergist;OA;OA;OA;OA;OA;UA;UA;UA;SC;SC;SC;SC;SC;SC;SC;SC;BR;BR;BR;BR;BR;BR;BR;BA;BA;BA;BA;BA;RU;RU;RU;RU;RU;RU;RU;GE;GE;GE;GE;GE;GE;OS;OS;OS;OS;OS;OS;OS;OS;OS;OS;OS;OS;OS;OS;OS;OS;US;US;US;US;US;US;US;US;US;US;US;Notizen;Anleitung;Instructions
;;1690;;;;;;;;;;;;;;;;;;;M. biceps brachii;M. brachialis;M. coracobrachialis;M. triceps brachii;M. anconeus;M. brachioradialis;Mm. extensores carpi;Mm. flexores carpi;M. deltoideus pars clavicularis;M. deltoideus pars acromialis;M. deltoideus pars spinalis;M. supraspinatus;M. teres major;M. teres minor;M. infraspinatus;M. subscapularis;M. pectoralis major pars clavicularis;M. pectoralis major pars sternocostalis;M. pectoralis major pars abdominalis;M. pectoralis minor;M. serratus anterior pars superior;M. serratus anterior pars intermedia;M. serratus anterior pars inferior;M. rectus abdominis;M. obliquus externus abdominis;M. obliquus internus abdominis;M. quadratus lumborum;M. iliopsoas;M. latissimus dorsi;M. rhomboideus major et minor;M. levator scapulae;M. trapecius pars descendens;M. trapecius pars transversus;M. trapecius pars ascendens;M. erector spinae;M. gluteus maximus;M. gluteus medius;M. gluteus minimus;M. tensor fasciae latae;M. obturatorius internus et externus;M. gemelli superior et inferior;M. sartorius;M. rectus femoris;M. vastus lateralis;M. vastus medialis;M. vastus intermedius;M. quadratus femoris;M. biceps femoris caput longum;M. biceps femoris caput breve;M. Semitendinosus;M. semimembranosus;M. pectineus;M. adductor longus;M. gracilis;M. adductor brevis;M. adductor magnus;M. adductor minimus;M. gastrocnemius;M. soleus;M. plantaris;Mm. peronei;M. tibialis anterior;M. extensor hallucis longus;M. extensor digitorum longus;M. flexor digitorum longus;M. tibialis posterior;M. flexor hallucis longus;M. popliteus;;;
A;m;1201;A1201m;d;Brust;Bankdrücken;Kurzhantel;Flachbank;Chest;Bench Press;Dumbbells;Flat Bench;028913;Dumbbell Bench Press;Strength;Chest;Dumbbell;Male;;;0;0;2;2;2;0;0;0;2;0;0;0;0;0;0;2;2;2;2;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;"• Legen Sie sich mit dem Rücken auf eine Flachbank
• Umgreifen Sie mit beiden Händen jeweils eine Kurzhantel 
• Drücken Sie die Kurzhanteln zunächst nach oben in die Ausgangsposition
• Diese befindet sich über der Schulterlinie bei fast komplett gestreckten Ellbogengelenken und nach vorn zeigenden Handflächen
• Lassen Sie das Gewicht langsam seitlich neben ihrem Brustkorp herab indem Sie ihre Ellenbogengelenke beugen
• Bewegungsweite: Die Ellbogengelenke sollten einen 90° Winkel beschreiben, wenn die Oberarme in horizontaler Position sind
• Drücken Sie das Gewicht wieder nach oben bis die Arme fast gestreckt sind
• Vermeiden Sie eine Komplettstreckung der Ellenbogen
• Ein Helfer sollte hinter dem Athleten stehen
• Mögliche Unterstützungspunkte für den Helfer sind die Ellenbogen oder die Handgelenke
";"• Lie face up on a flat bench 
• Grasp one dumbbell with each hand
• Push dumbbells to the starting position at above the shoulder line with almost locked out elbows and palms facing forward
• Lower weight laterally to the middle part of your chest by flexing your elbows
• Movement width: elbows should be flexed 90° when upper arms are in a horizontal position
• Bring weight back up until arms are extended
• Do not lock out elbows
• A spotter should stay behind the athlete
• Possible spotting points are the barbell, the elbows, or the wrists
"
A;m;1202;A1202m;d;Brust;Bankdrücken;Langhantel;Flachbank;Chest;Bench Press;Barbell;Flat Bench;002513;Barbell Bench Press;Strength;Chest;Barbell;Male;;;0;0;2;2;2;0;0;0;2;0;0;0;0;0;0;2;2;2;2;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;"• Legen Sie sich mit dem Rücken auf eine Flachbank
• Umgreifen Sie die Langhantel mit beiden Händen 
• Griffweite: Die Ellbogengelenke sollten einen 90° Winkel beschreiben, wenn die Oberarme in horizontaler Position sind
• Lassen Sie das Gewicht langsam auf den mittleren Bereich Ihrer Brust herab
• Drücken Sie das Gewicht wieder nach oben bis die Arme fast gestreckt sind
• Vermeiden Sie eine Komplettstreckung der Ellenbogen
• Ein Helfer sollte hinter dem Athleten stehen
• Mögliche Unterstützungspunkte für den Helfer sind die Hantelstange, die Ellenbogen oder die Handgelenke 
";"• Lie face up on a flat bench 
• Grasp bar with both hands 
• Grip width: elbows should be flexed 90° when upper arms are in a horizontal position
• Now lower weight to the middle part of your chest
• Bring weight back up until arms are extended
• Do not lock out elbows
• A spotter should stay behind the athlete
• Possible spotting points are the barbell, the elbows, or the wrists
"
A;m;1203;A1203m;d;Brust;Bankdrücken;Multipresse;Flachbank;Chest;Bench Press;Smith Machine;Flat Bench;074813;Smith Bench Press;Strength;Chest;Smith machine;Male;;;0;0;2;2;2;0;0;0;2;0;0;0;0;0;0;2;2;2;2;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;"• Legen Sie sich mit dem Rücken auf eine Flachbank
• Umgreifen Sie die Stange mit beiden Händen 
• Griffweite: Die Ellbogengelenke sollten einen 90° Winkel beschreiben, wenn die Oberarme in horizontaler Position sind
• Lassen Sie das Gewicht langsam auf den mittleren Bereich Ihrer Brust herab
• Drücken Sie das Gewicht wieder nach oben bis die Arme fast gestreckt sind
• Vermeiden Sie eine Komplettstreckung der Ellenbogen
• Ein Helfer sollte hinter dem Athleten stehen
• Mögliche Unterstützungspunkte für den Helfer sind die Hantelstange, die Ellenbogen oder die Handgelenke 
";"• Lie face up on a flat bench 
• Grasp bar with both hands 
• Grip width: elbows should be flexed 90° when upper arms are in a horizontal position
• Lower weight to the middle part of your chest
• Bring weight back up until arms are extended
• Do not lock out elbows
• A spotter should stay behind the athlete
• Possible spotting points are the barbell, the elbows, or the wrists
"
A;m;1204;A1204m;d;Brust;Bankdrücken;Kurzhantel;Schrägbank;Chest;Bench Press;Dumbbells;Incline Bench;031413;Dumbbell Incline Bench Press;Strength;Chest;Dumbbell;Male;;;0;0;2;2;2;0;0;0;2;0;0;0;0;0;0;2;2;2;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;"• Legen Sie sich mit dem Rücken auf eine Schrägbank
• Umgreifen Sie mit beiden Händen jeweils eine Kurzhantel 
• Drücken Sie die Kurzhanteln zunächst nach oben in die Ausgangsposition
• Diese befindet sich über der Schulterlinie bei fast komplett gestreckten Ellbogengelenken und nach vorn zeigenden Handflächen
• Lassen Sie das Gewicht langsam seitlich neben ihrem Brustkorb herab indem Sie ihre Ellenbogengelenke beugen
• Bewegungsweite: Die Ellbogengelenke sollten einen 90° Winkel beschreiben, wenn die Oberarme in horizontaler Position sind
• Drücken Sie das Gewicht wieder nach oben bis die Arme fast gestreckt sind
• Vermeiden Sie eine Komplettstreckung der Ellenbogen
• Ein Helfer sollte hinter dem Athleten stehen
• Mögliche Unterstützungspunkte für den Helfer sind die Ellenbogen oder die Handgelenke
";"• Lie face up on a incline bench 
• Grasp one dumbbell with each hand
• Push dumbbells to the starting position at above the shoulder line with almost locked out elbows and palms facing forward
• Lower weight laterally to the upper part of your chest by flexing your elbows
• Movement width: elbows should be flexed 90° when upper arms are in a horizontal position
• Bring weight back up until arms are extended
• Do not lock out elbows
• A spotter should stay behind the athlete
• Possible spotting points are the barbell, the elbows, or the wrists
"
A;m;1205;A1205m;d;Brust;Bankdrücken;Langhantel;Schrägbank;Chest;Bench Press;Barbell;Incline Bench;004713;Barbell Incline Bench Press;Strength;Chest;Barbell;Male;;;0;0;2;2;2;0;0;0;2;0;0;0;0;0;0;2;2;2;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;"• Legen Sie sich mit dem Rücken auf eine Schrägbank
• Umgreifen Sie die Langhantel mit beiden Händen 
• Griffweite: Die Ellbogengelenke sollten einen 90° Winkel beschreiben, wenn die Oberarme in horizontaler Position sind
• Lassen Sie das Gewicht langsam auf den oberen Bereich Ihrer Brust herab
• Drücken Sie das Gewicht wieder nach oben bis die Arme fast gestreckt sind
• Vermeiden Sie eine Komplettstreckung der Ellenbogen
• Ein Helfer sollte hinter dem Athleten stehen
• Mögliche Unterstützungspunkte für den Helfer sind: Die Hantelstange, die Ellenbogen oder die Handgelenke 
";"• Lie face up on a incline bench 
• Grasp barbell with both hands 
• Grip width: elbows should be flexed 90° when upper arms are in a horizontal position
• Lower weight to the upper part of your chest
• Bring weight back up until arms are extended
• Do not lock out elbows
• A spotter should stay behind the athlete
• Possible spotting points are: the barbell, the elbows, or the wrists
"
A;m;1206;A1206m;d;Brust;Bankdrücken;Multipresse;Schrägbank;Chest;Bench Press;Smith Machine;Incline Bench;075713;Smith Incline Bench Press;Strength;Chest;Smith machine;Male;;;0;0;2;2;2;0;0;0;2;0;0;0;0;0;0;2;2;2;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;"• Legen Sie sich mit dem Rücken auf eine Schrägbank
• Umgreifen Sie die Stange mit beiden Händen 
• Griffweite: Die Ellbogengelenke sollten einen 90° Winkel beschreiben, wenn die Oberarme in horizontaler Position sind
• Lassen Sie das Gewicht langsam auf den oberen Bereich Ihrer Brust herab
• Drücken Sie das Gewicht wieder nach oben bis die Arme fast gestreckt sind
• Vermeiden Sie eine Komplettstreckung der Ellenbogen
• Ein Helfer sollte hinter dem Athleten stehen
• Mögliche Unterstützungspunkte für den Helfer sind: Die Hantelstange, die Ellenbogen oder die Handgelenke 
";"• Lie face up on a incline bench 
• Grasp bar with both hands 
• Grip width: elbows should be flexed 90° when upper arms are in a horizontal position
• Lower weight to the upper part of your chest
• Bring weight back up until arms are extended
• Do not lock out elbows
• A spotter should stay behind the athlete
• Possible spotting points are: the barbell, the elbows, or the wrists
"
A;m;1207;A1207m;d;Brust;Bankdrücken;Kurzhantel;Negativbank;Chest;Bench Press;Dumbbells;Decline Bench;030113;Dumbbell Decline Bench Press;Strength;Chest;Dumbbell;Male;;;0;0;2;2;2;0;0;0;2;0;0;0;0;0;0;2;0;0;2;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;"• Legen Sie sich mit dem Rücken auf eine Negativbank
• Umgreifen Sie mit beiden Händen jeweils eine Kurzhantel 
• Drücken Sie die Kurzhanteln zunächst nach oben in die Ausgangsposition
• Diese befindet sich über der Schulterlinie bei fast komplett gestreckten Ellbogengelenken und nach vorn zeigenden Handflächen
• Lassen Sie das Gewicht langsam seitlich neben ihrem Brustkorb herab indem Sie ihre Ellenbogengelenke beugen
• Bewegungsweite: Die Ellbogengelenke sollten einen 90° Winkel beschreiben, wenn die Oberarme in horizontaler Position sind
• Drücken Sie das Gewicht wieder nach oben bis die Arme fast gestreckt sind
• Vermeiden Sie eine Komplettstreckung der Ellenbogen
• Ein Helfer sollte hinter dem Athleten stehen
• Mögliche Unterstützungspunkte für den Helfer sind die Ellenbogen oder die Handgelenke
";"• Lie face up on a decline bench 
• Grasp one dumbbell with each hand
• Push dumbbells to the starting position at above the shoulder line with almost locked out elbows and palms facing forward
• Lower weight laterally to the lower part of your chest by flexing your elbows
• Movement width: elbows should be flexed 90° when upper arms are in a horizontal position
• Bring weight back up until arms are extended
• Do not lock out elbows
• A spotter should stay behind the athlete
• Possible spotting points are the barbell, the elbows, or the wrists
"
A;m;1208;A1208m;d;Brust;Bankdrücken;Langhantel;Negativbank;Chest;Bench Press;Barbell;Decline Bench;003313;Barbell Decline Bench Press;Strength;Chest;Barbell;Male;;;0;0;2;2;2;0;0;0;2;0;0;0;0;0;0;2;0;2;2;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;"• Legen Sie sich mit dem Rücken auf eine Negativbank
• Umgreifen Sie die Langhantel mit beiden Händen 
• Griffweite: Die Ellbogengelenke sollten einen 90° Winkel beschreiben, wenn die Oberarme in horizontaler Position sind
• Lassen Sie das Gewicht langsam auf den unteren Bereich Ihrer Brust herab
• Drücken Sie das Gewicht wieder nach oben bis die Arme fast gestreckt sind
• Vermeiden Sie eine Komplettstreckung der Ellenbogen
• Ein Helfer sollte hinter dem Athleten stehen
• Mögliche Unterstützungspunkte für den Helfer sind: Die Hantelstange, die Ellenbogen oder die Handgelenke 
";"• Lie face up on a incline bench 
• Grasp bar with both hands 
• Grip width: elbows should be flexed 90° when upper arms are in a horizontal position
• Lower weight to the lower part of your chest
• Bring weight back up until arms are extended
• Do not lock out elbows
• A spotter should stay behind the athlete
• Possible spotting points are: the barbell, the elbows, or the wrists
"
A;m;1209;A1209m;d;Brust;Bankdrücken;Multipresse;Negativbank;Chest;Bench Press;Smith Machine;Decline Bench;075313;Smith Decline Bench Press;Strength;Chest;Smith machine;Male;;;0;0;2;2;2;0;0;0;2;0;0;0;0;0;0;2;0;2;2;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;"• Legen Sie sich mit dem Rücken auf eine Negativbank
• Umgreifen Sie die Stange mit beiden Händen 
• Griffweite: Die Ellbogengelenke sollten einen 90° Winkel beschreiben, wenn die Oberarme in horizontaler Position sind
• Lassen Sie das Gewicht langsam auf den unteren Bereich Ihrer Brust herab
• Drücken Sie das Gewicht wieder nach oben bis die Arme fast gestreckt sind
• Vermeiden Sie eine Komplettstreckung der Ellenbogen
• Ein Helfer sollte hinter dem Athleten stehen
• Mögliche Unterstützungspunkte für den Helfer sind: Die Hantelstange, die Ellenbogen oder die Handgelenke 
";"• Lie face up on a incline bench 
• Grasp bar with both hands 
• Grip width: elbows should be flexed 90° when upper arms are in a horizontal position
• Lower weight to the lower part of your chest
• Bring weight back up until arms are extended
• Do not lock out elbows
• A spotter should stay behind the athlete
• Possible spotting points are: the barbell, the elbows, or the wrists
"
